Lattices initiated in 0.27 seconds
Specimen build in 0.12 seconds
         231495 function calls (230204 primitive calls) in 0.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 __init__.py:194(_is_internal_frame)
       36    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 backend_glfw.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
       14    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
       37    0.000    0.000    0.000    0.000 argparse.py:1395(register)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       14    0.000    0.000    0.000    0.000 glfw.py:754(__callback__)
       77    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       24    0.000    0.000    0.000    0.000 fromnumeric.py:1768(ravel)
        1    0.000    0.000    0.015    0.015 glfw.py:79(_load_library)
        1    0.000    0.000    0.000    0.000 twodim_base.py:158(eye)
        1    0.000    0.000    0.006    0.006 raw_point_collection.py:26(__init__)
       23    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        4    0.000    0.000    0.000    0.000 event.py:209(_get_handlers)
        2    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      4/2    0.000    0.000    0.037    0.018 <frozen importlib._bootstrap>:666(_load_unlocked)
        4    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
       15    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
        6    0.000    0.000    0.000    0.000 shader.py:87(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1610(_log)
       38    0.000    0.000    0.000    0.000 glob.py:222(has_magic)
       28    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       22    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 viewport.py:147(__init__)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        4    0.000    0.000    0.000    0.000 __init__.py:1690(callHandlers)
       18    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        1    0.000    0.000    0.000    0.000 backend_glfw_deprecated.py:149(set_configuration)
        2    0.000    0.000    0.000    0.000 __init__.py:1491(warning)
      128    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      4/2    0.000    0.000    0.000    0.000 _internal.py:88(_array_descr)
       14    0.000    0.000    0.000    0.000 glob.py:31(iglob)
       24    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
      151    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       15    0.000    0.000    0.000    0.000 parser.py:31(remove_version)
       18    0.000    0.000    0.000    0.000 argparse.py:2588(_get_formatter)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      4/2    0.000    0.000    0.036    0.018 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.001    0.001 parser.py:16(get_default)
        1    0.000    0.000    0.000    0.000 panzoom.py:69(__init__)
       38    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 argparse.py:1652(__init__)
        1    0.000    0.000    0.007    0.007 subprocess.py:1161(communicate)
        6    0.000    0.000    0.000    0.000 snippet.py:445(__call__)
       24    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       18    0.000    0.000    0.000    0.000 argparse.py:1674(_add_action)
       47    0.000    0.000    0.000    0.000 transform.py:30(_get_kwarg)
        3    0.000    0.000    0.000    0.000 gettext.py:522(translation)
        1    0.000    0.000    0.000    0.000 gpudata.py:122(__setitem__)
