Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
       17    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       38    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
      118    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       47    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       30    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.008    0.001 glob.py:105(_glob1)
        3    0.000    0.000    0.000    0.000 argparse.py:1342(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       18    0.000    0.000    0.000    0.000 argparse.py:1485(_add_action)
       24    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       15    0.000    0.000    0.001    0.000 parser.py:72(preprocess)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1918(_parse_known_args)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:1768(ravel)
       53    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      343    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       28    0.000    0.000    0.000    0.000 shader.py:341(<listcomp>)
       37    0.000    0.000    0.000    0.000 parser.py:94(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       37    0.000    0.000    0.002    0.000 parser.py:163(get_attributes)
      213    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:1738(_execute_child)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.001    0.001 argparse.py:1742(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1880(parse_known_args)
        9    0.000    0.000    0.002    0.000 transform.py:40(__init__)
       97    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
